date,ffr,infl,lngdp
3/1/1960,4.068323187,1.292696283,8.046613396
6/1/1960,3.81893315,1.532441285,8.042795924
9/1/1960,3.022097976,1.614912461,8.045299778
12/1/1960,2.355811525,1.32246098,8.033106865
3/1/1961,2.051868111,0.681562261,8.039899051
6/1/1961,1.772897616,1.315862802,8.058295661
9/1/1961,1.721319933,1.769576058,8.074835857
12/1/1961,2.463097385,1.001470071,8.094897236
3/1/1962,2.521979171,1.497519451,8.112767543
6/1/1962,2.678005657,1.53509553,8.12346889
9/1/1962,2.928140733,1.249664361,8.13294148
12/1/1962,3.008172989,0.709277207,8.136810864
3/1/1963,3.053436061,1.307786238,8.147896065
6/1/1963,3.049953582,1.431510755,8.160832484
9/1/1963,3.433730702,1.490156061,8.180180809
12/1/1963,3.563139453,1.950085999,8.18729927
3/1/1964,3.573639129,1.730143008,8.208682365
6/1/1964,3.601643453,1.240245889,8.220510737
9/1/1964,3.566639227,1.173635967,8.234007661
12/1/1964,3.692709667,1.044987271,8.237532197
3/1/1965,4.110532597,1.479206873,8.26191377
6/1/1965,4.219652612,1.225052218,8.275478255
9/1/1965,4.216130831,1.241979884,8.29559844
12/1/1965,4.31478555,1.320541796,8.318888583
3/1/1966,4.728030011,2.03416388,8.343292083
6/1/1966,5.107383502,3.245495314,8.347377114
9/1/1966,5.637925926,3.320193169,8.354486009
12/1/1966,5.802256434,3.472784216,8.363015845
3/1/1967,5.011529717,2.212428093,8.372144298
6/1/1967,4.12812489,2.654657854,8.373022545
9/1/1967,4.026130844,3.597164221,8.381625441
12/1/1967,4.321835879,3.99156329,8.38963251
3/1/1968,4.972503172,4.469750777,8.409741602
6/1/1968,6.250095475,4.609794341,8.426480427
9/1/1968,6.210609898,4.463638381,8.433659397
12/1/1968,6.181902305,4.636599642,8.438106693
3/1/1969,6.883859337,4.418713811,8.453528955
6/1/1969,8.807859761,4.804862579,8.456742305
9/1/1969,9.534530037,4.604781495,8.462969291
12/1/1969,9.48642838,4.693804416,8.458610234
3/1/1970,9.080256701,4.324746563,8.456827286
6/1/1970,8.31632569,4.503318522,8.458589027
9/1/1970,7.032038087,4.436083981,8.467414539
12/1/1970,5.805831666,5.569559778,8.457082188
3/1/1971,3.987469514,5.04373815,8.48349162
6/1/1971,4.735108193,4.536660244,8.489184587
9/1/1971,5.705770693,3.752511083,8.496990484
12/1/1971,4.933491091,2.293108677,8.499904601
3/1/1972,3.654171915,3.825000399,8.517673076
6/1/1972,4.455882444,2.721316723,8.540577632
9/1/1972,4.922853943,3.003888161,8.549737823
12/1/1972,5.352739778,2.509725496,8.566211901
3/1/1973,6.851359688,2.791073653,8.590536586
6/1/1973,8.246810044,5.431914001,8.601810037
9/1/1973,11.29909784,5.28308122,8.596355512
12/1/1973,10.66539716,5.54441886,8.605643533
